일시,최저기온(°C),최고기온(°C),일강수량(mm),최대 순간 풍속(m/s),평균 풍속(m/s),최대 순간 풍속 풍향(hhmi)
2010.1.1,-1.7,5,0,13.3,3.4,334.7
2010.1.2,-0.4,13.2,0,17,5.1,14.1
2010.1.3,-0.1,7.5,0,14.5,5.4,5.5
2010.1.4,1,11.5,1,22.4,5.2,340.2
2010.1.5,-2.1,1.7,0,19.1,7.1,11.3
2010.1.6,-1.7,1.8,0,20.5,6.6,326.2
2010.1.7,-1.1,2.8,0,15.7,4.5,334.7
2010.1.8,-0.3,2.6,0,15.8,6.2,320.6
2010.1.9,-1.7,7.9,0,12.5,3.5,315
2010.1.10,2.5,7.6,0,10.8,4.1,337.5
2010.1.11,1.6,5.4,0,21.1,8.4,315
2010.1.12,-3.3,1.8,1.5,23.2,6.7,329.1
2010.1.13,-5.3,-1.4,9.5,19.2,3.4,320.6
2010.1.14,-3.2,4.2,0,11.8,3.5,0
2010.1.15,0.8,7.6,0,13.5,5.3,337.5
2010.1.16,-1.2,7.6,0,14.8,5.1,334.7
2010.1.17,-0.8,9,0,6.7,3.6,334.7
2010.1.18,1,10.7,0,7.1,3.2,334.7
2010.1.19,1,13.9,0,8.7,3.3,210.8
2010.1.20,12.4,15.2,20,16.1,4.7,199.6
2010.1.21,1.7,14.1,0,25.9,8,343.1
2010.1.22,-0.5,4.9,0,23.8,6.6,326.2
2010.1.23,-0.7,3.6,0,18.9,6.8,2.7
2010.1.24,-2.1,7.4,0,8,3.4,227.8
2010.1.25,-1.5,7.3,0,16.9,6.6,323.3
2010.1.26,-1.5,9.6,0,15.4,5.1,345.8
2010.1.27,3.2,12.1,47,18.8,5.3,205.3
2010.1.28,2.9,12.1,0.5,17.2,5.8,334.7
2010.1.29,0.1,10.3,0,12.2,4.4,5.5
2010.1.30,-0.3,9,22,6.2,2.8,135
2010.1.31,7.2,9.1,2.5,9,3.9,14.1
2010.2.1,1.2,7.6,8.5,25,8,323.3
2010.2.2,-1.6,5.2,0,15.7,7.8,334.7
2010.2.3,-2.5,2.1,0,16.9,7.6,340.2
2010.2.4,-2,4.5,0,14.1,5.7,329.1
2010.2.5,0.2,6.5,0,14.1,5,5.5
2010.2.6,-0.1,6.4,0,14,5.9,323.3
2010.2.7,-0.7,9.3,3.5,5.2,2.2,348.7
2010.2.8,8.4,15.4,7,12.3,3.5,225
2010.2.9,7.1,18.4,0,12.5,3.8,247.5
2010.2.10,8.8,16.5,2.5,11.9,3.2,357.2
2010.2.11,3.6,11.1,45.5,14,5.2,30.8
2010.2.12,1.2,4.9,2.5,16.5,7,326.2
2010.2.13,-1.4,3.1,0,19.4,8.7,326.2
2010.2.14,-1,3.7,2,11.5,5.6,11.3
2010.2.15,-0.3,7.5,0,20.3,7.2,337.5
2010.2.16,-1.4,2.2,0,20.7,8.7,5.5
2010.2.17,-1.4,6.2,0,14.1,4.8,329.1
2010.2.18,-1.3,2,1.5,19.1,6,323.3
2010.2.19,-1.8,5.7,0,13.3,4.3,317.7
2010.2.20,-0.9,8.9,0,8.3,3.3,177.1
2010.2.21,0.1,10.7,0,8.8,2.9,222.1
2010.2.22,1.4,14.9,0,6.8,3.3,182.8
2010.2.23,1.9,15.1,0,7.4,3.4,149.1
2010.2.24,10.6,16.2,0,11.8,5.2,205.3
2010.2.25,13.2,15.4,63,13.2,4.6,202.5
2010.2.26,8.6,15.8,10.5,9.7,3.4,61.9
2010.2.27,5.8,8.9,6,11.7,4.8,22.5
2010.2.28,4,13,0,7.2,3,8.3
2010.3.1,7.9,15.9,35.5,13.5,3.5,317.7
2010.3.2,4.6,10.7,1.5,11.7,3.8,334.7
